source_airport,destination_airport,distance_km,operating_airlines,min_stops,equipment_types
AAE,ALG,409.47,AH,0,736;738;ATR
AAE,CDG,1420.68,AH,0,738
AAE,IST,1869.88,AH,0,738
AAE,LYS,1015.75,AH,0,738
AAE,MRS,767.86,AH;ZI,0,319;738
AAE,ORN,767.61,AH,0,ATR
AAE,ORY,1394.66,AH;ZI,0,319;736
AAL,AAR,99.89,BA,0,FRJ
AAL,AGP,2506.84,DY,0,73H
AAL,ALC,2226.11,DY,0,73H
AAL,AMS,623.93,AZ;KL,0,E90;EMJ;F70
AAL,ARN,549.34,SK,0,S20
AAL,BCN,1842.09,IB;VY,0,320
AAL,BLL,156.38,DX;SK;TK,0,319;SF3
AAL,CPH,238.28,DY;SK,0,319;320;321;73H;AT7;CR2;CR9
AAL,IST,2216.01,TK,0,319;738
AAL,LGW,928.28,DY,0,73H
AAL,OSL,343.82,BA;M3;SK,0,73G;73H;FRJ;J31;SWM
AAL,PMI,2017.46,DY,0,73H
AAL,SVG,317.68,DX,0,SF3
AAN,CCJ,2596.92,IX,0,738
AAN,PEW,1882.33,NL,0,734
AAQ,DME,1157.85,S7,0,320
AAQ,LED,1711.91,SU,0,319;320
AAQ,SVO,1219.87,SU,0,319;320
AAR,AAL,99.89,BA,0,FRJ
AAR,AGP,2457.74,FR,0,738
AAR,BMA,550.24,BA,0,FRJ
AAR,CPH,147.74,SK,0,320;AT7;CR2
AAR,GOT,181.89,BA,0,FRJ
AAR,OSL,425.62,BA,0,FRJ
AAR,PMI,1949.66,FR,0,738
AAR,STN,835.0,FR,0,738
AAT,URC,429.91,CZ;GS,0,73G;E90
AAX,POJ,110.6,AD,0,AT4
AAY,SAH,854.68,FO,0,CR7
ABA,DME,3366.28,S7,0,320
ABA,IKT,884.07,IOS,0,AN4
ABA,NSK,1743.79,Y7,0,738
ABA,SVO,3374.84,SU,0,320
ABB,ABV,318.53,W3,0,73G
ABB,LOS,371.86,W3,0,73G
ABD,MHD,1243.68,B9;IR,0,100;M82
ABD,SYZ,430.22,EP,0,100
ABD,THR,657.47,B9;EP;IR,0,100;M82
ABE,ATL,1113.75,AF;DL;KL,0,717;CRJ
ABE,CLT,773.28,AA;US,0,CR7;CR9;CRJ
ABE,DTW,681.8,DL,0,CRJ
ABE,MYR,834.42,G4,0,M80
ABE,ORD,1050.39,UA,0,ER4;ERJ
ABE,PGD,1641.22,G4,0,M80
ABE,PHL,88.39,AA;US,0,CRJ;DH3;DH8
ABE,PIE,1564.02,G4,0,320;M80
ABE,SFB,1421.83,G4,0,320;M80
ABI,DFW,253.33,AA;US,0,CRJ;ER4;ERD
ABJ,ACC,417.91,E2;EK;HF;ME;MS;S9;SA,0,143;319;332;738;77W;E70;M82
ABJ,ALG,3569.78,AH,0,738
ABJ,BKO,921.4,HF;L6,0,319;73G
ABJ,BOY,657.42,2J,0,CRJ
ABJ,BRU,5134.85,AC;LH;SN;UA,0,332;333
ABJ,CDG,4903.21,AF;AZ,0,772
ABJ,CKY,1170.58,ET;HF,0,DH8;E70
ABJ,CMN,3148.16,AT,0,738;73G
ABJ,COO,708.65,DN;ET;L6,0,320;73G;73W;752
ABJ,DKR,1819.66,DN;HF;KQ,0,319;320;738;73W
ABJ,DLA,1518.75,HF,0,319
ABJ,FNA,1088.87,E2,0,M82
ABJ,IST,5152.42,TK,0,739
ABJ,LBV,1574.24,HF,0,319
ABJ,LFW,581.96,ET;HF;LH;SN;UA,0,319;333;DH8;E70
ABJ,LOS,814.81,ET;ME;QC;W3,0,332;737;CR9;DH8
ABJ,NBO,4596.06,KQ,0,738;73W
ABJ,ORY,4869.45,SS,0,333
ABJ,OUA,831.93,2J;AC;ET;HF;LH;SN;UA,0,332;333;752;CRJ;E70;M87
ABJ,ROB,720.2,E2,0,M82
ABJ,TUN,3796.59,TU,0,320
ABL,OTZ,207.48,7H;8E,0,CNC
ABL,SHG,38.74,7H;8E,0,CNC
ABM,CNS,749.62,Q6,0,DH1
ABQ,ATL,2038.33,AF;AZ;DL;KL;VS,0,320;757
ABQ,BWI,2682.04,WN,0,73W
ABQ,CNM,370.68,LW,0,CNC
ABQ,DAL,932.06,WN,0,733;735;73C;73W
ABQ,DEN,562.66,FL;UA;WN,0,73C;73W;CR7;CRJ;DH4;E70
ABQ,DFW,913.81,AA;US,0,M80;M83
ABQ,HOU,1220.61,WN,0,735;73C;73W
ABQ,IAH,1195.69,UA,0,320;738
ABQ,JFK,2931.44,B6,0,320
ABQ,LAM,98.31,LW,0,CNC
ABQ,LAS,781.12,FL;WN,0,733;73C;73W
ABQ,LAX,1087.57,AA;AS;UA;US;WN,0,73C;73W;CR7;CRJ
ABQ,MCI,1154.18,FL;WN,0,73C;73W
ABQ,MDW,1800.93,FL;WN,0,73W
ABQ,MSP,1577.03,DL,0,320
ABQ,OAK,1427.24,WN,0,733;73C;73W
ABQ,ORD,1795.92,AA;UA;US,0,CR7;E70;E75
ABQ,PDX,1786.66,FL;WN,0,73W
ABQ,PHX,527.71,AA;US;WN,0,733;73C;73W;CR9;CRJ
ABQ,SAN,1009.25,WN,0,733;73C;73W
ABQ,SEA,1897.32,WN,0,73W
ABQ,SFO,1439.3,UA,0,CRJ
ABQ,SLC,793.59,DL,0,CR7;CR9
ABR,MSP,412.45,DL,0,CRJ
ABS,ASW,215.52,MS,0,E70
ABT,DMM,1079.1,SV,0,320
ABT,JED,299.72,SV,0,320
ABT,RUH,733.9,SV,0,320
ABV,ABB,318.53,W3,0,73G
ABV,ACC,902.42,W3,0,CR9
ABV,ADD,3462.46,ET,0,77L
ABV,BNI,350.8,W3,0,73G;CR9
ABV,CAI,3435.06,MS,0,738
ABV,CBQ,463.89,W3,0,73G
ABV,CDG,4470.13,AF;DL;KL,0,332
ABV,COO,613.02,ET,0,DH8
ABV,ENU,283.52,W3,0,73G
ABV,FRA,4563.55,LH,0,343
ABV,GMO,423.37,W3,0,CR9;DH4
ABV,IBA,405.13,W3,0,DH4
ABV,ILR,310.81,W3,0,CR9
ABV,KAN,365.16,W3,0,CR9;DH4
ABV,LFW,733.71,ET,0,DH8
ABV,LHR,4774.22,BA,0,777
ABV,LOS,511.42,W3,0,738;73G;CR9
ABV,NDJ,917.69,ET,0,DH8
ABV,NIM,744.5,ET,0,DH8
ABV,PHC,445.16,AF;DL;KL;W3,0,332;73G
ABV,QOW,398.1,W3,0,73G;DH4
ABV,QRW,411.38,W3,0,DH4
ABV,SKO,489.22,W3,0,73G;CR9
ABV,SSG,605.38,LH,0,343
ABV,YOL,567.97,W3,0,73G;CR9
ABX,MEL,259.34,ZL,0,SF3
ABX,SYD,450.83,QF;VA;ZL,0,AT7;DH3;DH4;SF3
ABY,ATL,234.67,AF;AM;DL;KL,0,CRJ
ABZ,AMS,703.27,KL,0,737;EMJ;F70
ABZ,BGO,548.27,SK;WF,0,DH3;DH4
ABZ,BHD,367.31,BE,0,DH4
ABZ,BHX,528.74,BE,0,DH4;E75
ABZ,BRS,647.94,BM,0,ER4
ABZ,CDG,963.58,AF;AZ;BE,0,E70;EMJ
ABZ,CPH,928.63,SK,0,CR2;CR9
ABZ,DUB,492.89,EI,0,AT7
ABZ,EBJ,687.09,BM,0,ER4
ABZ,EMA,489.15,T3,0,J41
ABZ,FRA,1065.17,LH,0,735
ABZ,HUY,419.85,T3,0,J41;S20
ABZ,KOI,199.62,BE,0,S20;SF3
ABZ,KSU,857.93,BM,0,ER4
ABZ,LBA,372.48,T3,0,J41
ABZ,LCY,649.95,BA,0,E70;S20
ABZ,LGW,685.64,U2,0,319
ABZ,LHR,647.09,AA;BA;IB;UN;VS,0,319;320;321;333
ABZ,LSI,302.23,BE,0,S20;SF3
ABZ,LTN,603.94,U2,0,319;320
ABZ,MAN,427.93,BE;BM,0,DH4;E75;ER4
ABZ,MME,303.23,T3,0,J41;S20
ABZ,NCL,242.7,T3,0,ER4;J41;S20
ABZ,NWI,550.02,BM;T3,0,ER3;ER4;S20
ABZ,OSL,830.24,BM;SK,0,736;73H;73W;ER3
ABZ,RIX,1572.71,BT,0,735
ABZ,SVG,497.01,SK;T3;WF,0,736;73G;DH4;ER3;J41
ABZ,SYY,270.11,T3,0,J41
ABZ,WIC,149.48,T3,0,J41
ACA,IAH,1537.76,UA,0,ERJ
ACA,MEX,306.51,4O;AM;VW,0,320;737;ATR;E70;E75;EMJ;ERJ
ACA,MTY,1003.8,VB,0,733
